"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.420948833E0,1.260478431E-1,-8.337954104E-2,-2.561320192E-1,2.973950535E-1
2.431002833E0,-1.268436491E-2,-9.038450539E-2,-2.134778235E-1,2.321702674E-1
2.441056833E0,-1.064041221E-1,-1.017649412E-2,-1.774168020E-1,2.071282692E-1
2.451110833E0,-2.118855536E-1,3.940438628E-3,-1.359600431E-1,2.517859174E-1
2.461164833E0,-3.189632750E-1,1.223295987E-2,-8.080325782E-2,3.292664310E-1
2.471217833E0,-2.902142698E-1,4.161931157E-2,3.431219235E-3,2.932034494E-1
2.481271833E0,-2.079468691E-1,3.891555905E-2,1.006498772E-1,2.342791474E-1
2.491325833E0,-1.151813775E-1,7.667453885E-2,1.418627342E-1,1.981685393E-1
2.501379833E0,2.198611557E-2,1.240790856E-1,1.455113237E-1,1.924903999E-1
2.511433833E0,1.426720619E-1,1.178792828E-1,1.042820945E-1,2.124278649E-1
2.521487833E0,1.544466001E-1,2.021382451E-3,-4.052990220E-2,1.596887950E-1
2.531541833E0,1.608270818E-1,-4.774426997E-2,-1.499780848E-1,2.250295347E-1
2.541595833E0,1.889083350E-1,-2.756552875E-2,-1.904088036E-1,2.696325831E-1
2.551648833E0,1.777728975E-1,7.096473277E-2,-1.956378955E-1,2.737030919E-1
2.561702833E0,1.072800350E-1,7.066594005E-2,-2.026335774E-1,2.399230036E-1
2.571756833E0,5.471239686E-3,-5.012934923E-2,-1.527556584E-1,1.608638471E-1
2.581810833E0,-7.617343247E-2,-1.540735477E-1,-3.990439631E-2,1.764466230E-1
2.591864833E0,-6.522744477E-2,-2.458461821E-2,3.352033317E-2,7.734749989E-2
2.601918833E0,1.469054461E-2,2.304937327E-1,-6.882757545E-3,2.310639419E-1
2.611972833E0,3.707894862E-2,3.709660721E-1,-5.760793805E-2,3.772391146E-1
2.622026833E0,-4.517851174E-2,5.033101970E-1,-6.917782366E-2,5.100468837E-1
2.632079833E0,-6.613259375E-2,5.531302285E-1,-1.185347557E-2,5.571957237E-1
2.642133833E0,-2.231116229E-1,4.518868589E-1,-4.832255960E-2,5.062762085E-1
2.652187833E0,-3.394560117E-1,4.254820025E-1,-1.083839162E-1,5.549886410E-1
2.662241833E0,-3.982333928E-1,1.618901056E-1,-1.763660574E-1,4.646538794E-1
2.672295833E0,-4.314128333E-1,5.845344543E-2,-1.237569040E-1,4.526031477E-1
2.682349833E0,-3.580723768E-1,8.245158792E-3,2.352912270E-2,3.589393115E-1
2.692403833E0,-1.922552812E-1,5.537605584E-2,1.268588519E-1,2.369003356E-1
2.702457833E0,-7.143134058E-2,7.952330232E-2,1.416937497E-1,1.774922835E-1
2.712510833E0,4.506799936E-2,1.968558705E-1,8.327538751E-2,2.184448408E-1
2.722564833E0,1.167343980E-1,2.096951866E-1,1.213516518E-2,2.403045010E-1
2.732618833E0,4.039724350E-2,1.197451293E-2,2.383325100E-3,4.220197248E-2
2.742672833E0,-5.326813459E-2,-1.652838296E-1,2.147550747E-2,1.749783870E-1
2.752726833E0,6.996427417E-2,-2.792975181E-1,7.185402118E-2,2.967576514E-1
2.762780833E0,1.687114674E-1,-2.476377690E-1,6.432514630E-2,3.064730792E-1
2.772834833E0,3.573385513E-1,-2.427167523E-1,9.262917839E-2,4.417945527E-1
2.782888833E0,3.683459347E-1,-2.527084744E-1,1.317740214E-1,4.657302797E-1
2.792941833E0,2.290980023E-1,-2.304744369E-1,1.516516310E-1,3.586120158E-1
2.802995833E0,9.253043354E-2,-1.209847391E-1,6.358021103E-2,1.650503906E-1
2.813049833E0,1.084132254E-2,-1.985451311E-1,6.890760921E-2,2.104423008E-1
2.823103833E0,-5.430484593E-2,-2.087397516E-1,1.744831809E-1,2.774268923E-1
2.833157833E0,2.591076672E-2,2.368940949E-2,2.414478334E-1,2.439869099E-1
2.843211833E0,2.208931893E-1,1.974177879E-1,1.729523798E-1,3.430453465E-1
2.853265833E0,2.274204361E-1,1.309916639E-1,2.452029884E-2,2.635908114E-1
2.863319833E0,1.548155594E-1,7.615589082E-2,-6.392760873E-3,1.726512222E-1
2.873372833E0,1.821945620E-1,5.377976596E-2,7.676926374E-2,2.048917799E-1
2.883426833E0,1.218559742E-2,-2.506701350E-2,1.555522355E-1,1.580295602E-1
2.893480833E0,-2.077334458E-1,-2.302165747E-2,1.034851190E-1,2.332216779E-1
2.903534833E0,-3.705392253E-1,-2.496527195E-2,5.519238017E-2,3.754580951E-1
2.913588833E0,-5.393921953E-1,1.008235395E-1,4.146487199E-2,5.502987026E-1
2.923642833E0,-5.779113132E-1,3.839100534E-1,7.183472537E-2,6.975160520E-1
2.933696833E0,-6.539268708E-1,6.316904944E-1,4.810679734E-2,9.104765220E-1
2.943750833E0,-7.336273438E-1,7.317533112E-1,4.238880515E-2,1.037048118E0
2.953803833E0,-7.302616864E-1,7.495592523E-1,-6.887946948E-3,1.046503056E0
2.963857833E0,-6.790628815E-1,7.346406662E-1,-1.753270072E-1,1.015658833E0
2.973911833E0,-5.583149546E-1,5.255489123E-1,-3.449026199E-1,8.407586247E-1
2.983965833E0,-3.955734944E-1,2.626727146E-1,-3.997963536E-1,6.207354258E-1
2.994019833E0,-3.263845611E-1,1.014947999E-1,-3.718122373E-1,5.050469442E-1
3.004073833E0,-2.019885564E-1,7.061506927E-2,-2.847354287E-1,3.561742962E-1
